symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NFAT5	0.015311450595818392	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.11833173295078024	No data	No data	0	0	0	0	0	0.6287950000000002	No data	-0.8826838924775995	-0.9372462685108176	0	No data	No data	0	-1	0
CD96	0.015286233434042252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12572346633940332	No data	No data	No data	0	0	0	0	0	0	No data	0.07470306313815378	-0.05232536463477516	0	No data	No data	No data	0.5	0
GLB1L3	0.015274068437076252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12562341385798773	No data	No data	No data	No data	0	0	0	0	No data	0.35788705980412594	No data	0	No data	No data	0	0.5	0.5
INSR	0.015251739103799223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10638788958203368	0.07620749594971275	No data	1	1	0	1	1	1	0.7250349999999998	1	-0.5561575328193373	-0.9212576128016283	0	-1	No data	0	-1	-1
MX2	0.015238167973869725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	0.11620918421410736	No data	No data	0	0	0	0	0	No data	No data	-0.13857053552823506	-0.05905544609812324	0	No data	No data	0	0.5	0
PKLR	0.015229979422284781	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1252607984504061	No data	1	0	0	1	1	1	0.5905900000000003	No data	0.017295269847884986	-0.8349250201302596	0	No data	No data	-0.13763000000000006	0.5	0.5
SRC	0.015226313414065202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11457806838319023	0.0426103141658668	No data	1	1	0	1	1	1	0.9347000000000001	1	-0.8332986038758075	-0.8192627862114793	0	-1	-1	-0.375	-1	0
CAST	0.015214370684520223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12513242250839202	No data	No data	No data	1	0	No data	No data	No data	No data	No data	-0.15888726818087107	-0.6558209321614145	0	No data	No data	No data	-1	-1
AGBL4	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	0	0	0	0	0	0.32405499999999987	No data	-0.1833715357366118	-0.7833239270019315	0	-1	No data	0	0.5	0.5
INSYN1-AS1	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHRNA2	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	1	0	1	1	0	0.10208000000000013	No data	0.40862679724942685	-0.28225561086084844	0	-1	No data	-0.12098249999999985	1	0.5
LINC01916	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000279693	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CNTFR	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	1	0	0	0	0	0.7580649999999999	No data	-0.7046259637424463	-0.7705223065413924	0	No data	No data	0	0.5	0
LINC01950	0.015211906818822327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12511215814847162	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
